Date,Month,FuturePrice,Last Future,Price Move,Gross Withdrawals,Gross Withdrawals from Gas Wells,Gross Withdrawals from Oil Wells,Gross Withdrawals from Shale Gas,Gross Withdrawals from Coalbed Wells,Repressuring,Nonhydrocarbon Gases Removed from Natural Gas,Vented and Flared,Marketed Production,Plant Liquids Production (Million Cubic Feet),Dry Production,Delivered to Consumers,Residential Consumption,Deliveries to Commercial Consumers,Industrial Consumption,Vehicle Fuel Consumption,Deliveries to Electric Power Consumers,Delta Gross Withdraw,Delta Withdraws from Gas Wells,Delta Withdraw from Oil Wells,Delta Withdrawals from Shale Gas,Delta Withdrawals from Coalbed Wells,Delta Repressuring,Delta Nonhydrocarbon Gases Removed,Delta Vented and Flared,Delta Marketed Production,Delta Plant Liquids Production,Delta Dry Production,Delta Delivered to Consumers,Delta Residential Consumption,Delta Deliveries to Commercial,Delta Industrial Consumption,Delta Vehicle Fuel Consumption,Delta Deliveries to Electric Power,Imports,Pipeline Imports,Liquefied Imports,Exports,Pipeline Exports,Liquefied Exports,Working Storage,Net Withdraws,Delta Imports,Delta Pipeline Imports,Delta Liquefied Imports,Delta Exports,Delta Pipeline Exports,Delta Liquefied Exports,Delta Working Storage,Delta Net Withdraws,Non-Comm Net Stded,Delta Non-Comm Net,HDD Region 1,HDD Region 2,HDD Region 3,HDD Region 4,HDD Region 5,HDD Region 6,HDD Region 7,HDD Region 8,HDD Region 9,HDD CONUS,HDD Delta Avg Region 1,HDD Delta Avg Region 2,HDD Delta Avg Region 3,HDD Delta Avg Region 4,HDD Delta Avg Region 5,HDD Delta Avg Region 6,HDD Delta Avg Region 7,HDD Delta Avg Region 8,HDD Delta Avg Region 9,HDD Delta Avg CONUS,
1-Jan-2001,1,6.097,9.805,-3.708,2096948,1546300,550648,0,0,294944,39487,9285,1753237,81309,1671928,2505011,976677,500267,686540,1235,340292,41512,45611,-4099,0,0,-2828,-2554,2298,44601,-4601,49202,0,113777,48391,0,155,0,373077,354873,18204,25547,19929,5618,1265496,495576,47180,41781,5398,7771,0,14,-494971,-286488,-4295,-11191,40.4,37.4,40.4,41.4,22.4,28.9,20.9,31.8,20.3,29.7,1.02,1.02,-0.74,-2.72,3.68,4.66,4.44,3.6,2.84,2.06,
1-Feb-2001,2,5.279,6.097,-0.818,1910051,1403555,506496,0,0,282706,37807,6979,1582557,73394,1509163,2156873,780482,422407,640026,1115,312843,1487,17466,-15979,0,0,-2005,-3107,-2153,8750,-5737,14487,0,5247,1653,0,105,0,328289,306190,22099,26882,23126,3756,912366,339432,28182,16237,11944,5867,0,-1847,-391198,-110932,3312,7606,37.3,33.3,37,44,14.6,18.6,13,28.3,19.3,25.3,2.24,1.2,3.56,10.38,-1.4,-1.16,0.98,3.54,2.94,2.06,
1-Mar-2001,3,5.621,5.279,0.342,2116381,1563329,553051,0,0,300480,41472,7675,1766754,81936,1684817,2086568,681884,375688,664918,1235,362843,40928,54062,-13135,0,0,-2052,-2420,950,44450,-4661,49110,0,131623,28020,0,155,0,358103,334858,23245,32121,26510,5611,741551,182681,51507,43073,8433,11616,0,1797,-411668,30570,8725,5414,32.3,30.2,31.1,32,13.9,18.6,11.8,19.1,12.1,20.8,3.02,3.62,2.94,3.6,1.94,3.48,3.16,0,-1.1,2.04,
1-Apr-2001,4,5.078,5.621,-0.543,2028145,1502213,525932,0,0,277559,38538,8736,1703310,78994,1624316,1663832,400728,255361,622054,1195,384494,70154,71459,-1306,0,0,-511,-4294,120,74836,-2886,77722,0,-158,-29,0,150,0,318573,296560,22013,23637,18009,5628,992263,-279050,24557,21923,2635,6622,0,-72,-210255,-233348,-25968,-34693,18.9,15.4,13.1,12.8,5.2,4.9,1.5,12.8,12.4,10.1,-0.72,-1.18,-4.2,-3.7,-0.76,-3.04,-1.96,-1.14,2.7,-1.28,
1-May-2001,5,3.738,5.078,-1.34,2070749,1553485,517264,0,0,259780,39302,8523,1763141,81769,1681372,1385163,209327,164146,576532,1235,433923,69402,70731,-1330,0,0,347,-3747,1474,71324,-3296,74620,0,-19112,-16513,0,155,0,321878,294734,27144,28981,23268,5713,1440096,-479091,34085,20118,13968,9171,0,-27,6996,-247896,-56634,-30666,7.4,5.5,5.1,4.8,1.1,0.8,0.1,5.1,2.8,3.3,-1.64,-1.18,-1.68,-1.02,-0.5,-0.62,-0.12,-0.9,-2.38,-1.08,
1-Jun-2001,6,3.397,3.738,-0.341,1993266,1479003,514263,0,0,264880,35021,7797,1685568,78171,1607397,1313119,146837,135449,536820,1195,492819,29257,31213,-1956,0,0,1877,-7196,384,34192,-4860,39052,0,-7346,-11686,0,150,0,317414,290824,26589,24554,20751,3803,1882431,-440851,21368,12295,9072,8305,0,11,165124,-156392,-49955,6679,1.4,1.2,2.3,1.7,0.1,0.1,0,1.7,1.8,1,-0.78,-0.14,0.8,0.28,-0.16,-0.02,0,-0.22,-0.28,-0.06,
1-Jul-2001,7,3.296,3.397,-0.101,2041970,1527743,514227,0,0,255353,41659,7775,1737185,80565,1656620,1459919,123777,130415,570067,1235,634425,24025,33280,-9254,0,0,-3334,-1735,-2246,31342,-5205,36547,0,-4586,-6495,0,155,0,364571,339472,25099,31219,25521,5698,2260763,-384901,42286,46093,-3807,11673,0,72,258065,-95623,-47354,2601,0.6,0.4,0.3,0.1,0,0,0,0,0.5,0.1,0.42,0.28,0.08,-0.14,0,0,0,-0.14,0.1,0.04,
1-Aug-2001,8,2.415,3.296,-0.881,2056737,1537215,519522,0,0,270407,40447,8596,1737283,80570,1656714,1528483,116934,133687,589875,1235,686753,18715,33172,-14458,0,0,878,-2467,1755,18545,-5848,24394,0,-5474,-16601,0,155,0,353338,334220,19118,28965,23248,5717,2575798,-307170,35030,38855,-3825,8190,0,90,376802,-111156,-67256,-19902,0.1,0,0,0.2,0,0,0,0,0.3,0,-0.34,-0.28,-0.3,0,0,0,0,-0.14,0.04,-0.12,
1-Sep-2001,9,1.925,2.415,-0.49,2009185,1487642,521543,0,0,274060,38222,8218,1688682,78316,1610366,1360871,127482,143342,578590,1195,510262,22159,29696,-7537,0,0,-69,-4207,976,25458,-5311,30768,0,-13284,-5267,0,150,0,314864,293037,21827,33517,27806,5711,2944267,-371933,10021,9906,114,12949,0,91,449975,-81258,-53721,13535,3.7,3.3,4.8,4.4,1.2,1.6,0.3,2,1.1,2.4,-0.5,0.14,1.24,0.6,0.58,0.94,0.04,-1.36,-0.38,0.34,
1-Oct-2001,10,3.183,1.925,1.258,2097034,1543334,553700,0,0,295187,36399,8053,1757397,81502,1675894,1507428,237466,185356,617291,1235,466080,-714,6014,-6728,0,0,-1997,-6366,232,7418,-6487,13904,0,1667,4326,0,155,0,326114,314389,11725,34452,26827,7625,3143972,-189516,1587,17252,-15665,11382,0,79,411705,51833,-31328,22393,13,11,13,13.8,5.6,7.5,2.7,9.5,4.8,8.2,-2.3,-1.36,0.66,1.64,1.1,1.94,0.44,-1.58,-1.6,-0.08,
